Type,MPG,Date,Time,Vehicle,Odometer,Filled Up,Cost/Gallon,Gallons,Total Cost,Octane,Gas Brand,Location,Tags,Payment Type,Tire Pressure,Notes,Services
Gas,25.43,2017-06-06,8:49 AM,Golf R,20893,Full,$2.859,13.134,$37.55,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.85,2017-06-12,8:49 AM,Golf R,21183,Full,$2.859,11.672,$33.37,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.75,2017-06-16,8:49 AM,Golf R,21509,Full,$2.839,13.17,$37.39,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,23.94,2017-06-21,8:49 AM,Golf R,21760,Full,$2.839,10.486,$29.77,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,23.53,2017-06-26,8:49 AM,Golf R,22022,Full,$2.799,11.133,$31.16,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,25.22,2017-06-30,8:49 AM,Golf R,22355,Full,$2.799,13.205,$36.96,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.61,2017-07-10,8:49 AM,Golf R,22623,Full,$2.859,10.888,$31.13,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,25.15,2017-07-17,8:49 AM,Golf R,22929,Full,$2.859,12.169,$34.79,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,23.39,2017-07-20,8:49 AM,Golf R,23182,Full,$2.859,10.818,$30.93,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,22.85,2017-07-26,8:49 AM,Golf R,23433,Full,$2.859,10.983,$31.4,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,23.53,2017-08-05,8:49 AM,Golf R,23636,Full,$2.899,8.627,$25.01,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,25.09,2017-08-09,8:49 AM,Golf R,23918,Full,$2.899,11.24,$32.58,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.91,2017-08-16,8:49 AM,Golf R,24225,Full,$2.979,12.326,$36.72,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.59,2017-08-22,8:49 AM,Golf R,24497,Full,$2.819,11.061,$31.18,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.89,2017-08-24,8:49 AM,Golf R,24753,Full,$2.779,10.284,$28.58,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.69,2017-08-30,8:49 AM,Golf R,25064,Full,$2.899,12.594,$36.51,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,23.71,2017-09-01,8:49 AM,Golf R,25236,Full,$3.009,7.255,$21.83,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,0.0,2017-09-04,8:49 AM,Golf R,25573,Partial,$3.179,7.867,$25.01,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,26.84,2017-09-05,8:49 AM,Golf R,25706,Full,$3.029,9.647,$29.22,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.5,2017-09-07,8:49 AM,Golf R,26022,Full,$3.319,12.898,$42.81,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,21.77,2017-09-18,8:49 AM,Golf R,26238,Full,$3.199,9.922,$31.74,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,23.11,2017-09-21,8:49 AM,Golf R,26494,Full,$3.199,11.078,$35.44,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,21.48,2017-10-06,8:49 AM,Golf R,26712,Full,$3.059,10.147,$31.04,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,22.01,2017-10-28,8:49 AM,Golf R,26992,Full,$3.019,12.721,$38.4,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,18.54,2017-12-02,8:49 AM,Golf R,27182,Full,$2.999,10.25,$30.74,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,22.41,2017-12-20,8:49 AM,Golf R,27413,Full,$2.959,10.306,$30.5,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,0.0,2018-01-01,8:49 AM,Golf R,27655,Partial,$2.839,8.806,$25.0,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,25.28,2018-01-03,8:49 AM,Golf R,27910,Full,$3.259,10.855,$35.38,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,21.53,2018-01-15,8:49 AM,Golf R,28078,Full,$3.239,7.802,$25.27,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,20.85,2018-02-22,8:49 AM,Golf R,28331,Full,$3.099,12.133,$37.6,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,23.0,2018-03-03,8:49 AM,Golf R,28594,Full,$3.269,11.435,$37.38,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,26.13,2018-03-05,8:49 AM,Golf R,28913,Full,$3.099,12.207,$37.83,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,20.57,2018-03-31,8:49 AM,Golf R,29036,Full,$2.979,5.979,$17.81,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,26.82,2018-04-05,8:49 AM,Golf R,29343,Full,$3.179,11.447,$36.39,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,20.92,2018-05-11,8:49 AM,Golf R,29540,Full,$3.299,9.418,$31.07,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.37,2018-05-17,8:49 AM,Golf R,29698,Full,$3.339,6.484,$21.65,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,18.98,2018-05-20,8:49 AM,Golf R,29970,Full,$2.599,14.332,$37.25,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,27.43,2018-05-24,8:49 AM,Golf R,30238,Full,$3.419,9.769,$33.4,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,23.11,2018-06-09,8:49 AM,Golf R,30500,Full,$3.369,11.336,$38.19,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,19.38,2018-09-01,8:49 AM,Golf R,30614,Full,$3.259,5.882,$19.17,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,28.36,2018-09-04,8:49 AM,Golf R,30980,Full,$3.359,12.906,$43.35,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,22.15,2018-09-19,8:49 AM,Golf R,31230,Full,$3.499,11.289,$39.5,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,27.73,2018-09-21,8:49 AM,Golf R,31510,Full,$3.659,10.098,$36.95,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,28.18,2018-09-22,8:49 AM,Golf R,31837,Full,$3.539,11.605,$41.07,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.55,2018-10-11,8:49 AM,Golf R,31975,Full,$3.359,5.621,$18.88,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,22.92,2018-11-06,8:49 AM,Golf R,32209,Full,$3.259,10.209,$33.27,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,17.92,2018-12-20,8:49 AM,Golf R,32415,Full,$2.952,11.495,$33.93,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,27.56,2018-12-27,8:49 AM,Golf R,32741,Full,$3.129,11.828,$37.01,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,25.91,2019-01-01,8:49 AM,Golf R,32948,Full,$2.789,7.989,$22.28,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,23.67,2019-02-02,8:49 AM,Golf R,33194,Full,$2.839,10.395,$29.51,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,19.43,2019-03-22,8:49 AM,Golf R,33416,Full,$3.239,11.423,$37.0,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,28.83,2019-03-25,8:49 AM,Golf R,33641,Full,$3.279,7.804,$25.59,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,28.22,2019-03-31,8:49 AM,Golf R,33983,Full,$3.289,12.119,$39.86,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,20.98,2019-04-08,8:49 AM,Golf R,34226,Full,$3.219,11.584,$37.29,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,20.09,2019-04-19,8:49 AM,Golf R,34419,Full,$3.319,9.608,$31.89,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,21.02,2019-04-30,8:49 AM,Golf R,34657,Full,$3.439,11.323,$38.94,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,18.07,2019-05-11,8:49 AM,Golf R,34859,Full,$3.399,11.18,$38.0,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,20.18,2019-05-21,8:49 AM,Golf R,35068,Full,$3.399,10.359,$35.21,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,19.19,2019-06-03,8:49 AM,Golf R,35287,Full,$3.319,11.413,$37.88,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,17.47,2019-06-18,8:49 AM,Golf R,35493,Full,$3.279,11.79,$38.66,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,19.6,2019-06-28,8:49 AM,Golf R,35671,Full,$3.299,9.082,$29.96,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,23.95,2019-06-29,8:49 AM,Golf R,35946,Full,$3.599,11.481,$41.32,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,25.8,2019-07-01,8:49 AM,Golf R,36267,Full,$3.739,12.442,$46.52,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,23.97,2019-07-02,8:49 AM,Golf R,36488,Full,$3.299,9.221,$30.42,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,17.71,2019-07-20,8:49 AM,Golf R,36706,Full,$3.279,12.309,$40.36,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,21.58,2019-07-30,8:49 AM,Golf R,36951,Full,$3.279,11.351,$37.22,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,25.22,2019-08-05,8:49 AM,Golf R,37278,Full,$3.259,12.967,$42.26,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,20.48,2019-08-14,8:49 AM,Golf R,37495,Full,$3.429,10.598,$36.34,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,28.17,2019-08-15,8:49 AM,Golf R,37824,Full,$3.259,11.678,$38.06,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.53,2019-08-17,8:49 AM,Golf R,38118,Full,$3.169,11.985,$37.98,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,26.78,2019-08-18,8:49 AM,Golf R,38429,Full,$3.319,11.612,$38.54,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,23.5,2019-08-23,8:49 AM,Golf R,38701,Full,$3.159,11.576,$36.57,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,19.36,2019-09-10,8:49 AM,Golf R,38933,Full,$3.079,11.981,$36.89,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,17.17,2019-09-23,8:49 AM,Golf R,39116,Full,$3.199,10.66,$34.1,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,18.31,2019-10-10,8:49 AM,Golf R,39343,Full,$3.059,12.396,$37.92,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,26.46,2019-10-14,8:49 AM,Golf R,39649,Full,$3.299,11.564,$38.15,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,20.27,2019-10-28,8:49 AM,Golf R,39871,Full,$3.099,10.955,$33.95,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,17.59,2019-11-12,8:49 AM,Golf R,40059,Full,$3.219,10.687,$34.4,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,19.96,2019-11-26,8:49 AM,Golf R,40297,Full,$3.179,11.922,$37.9,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,25.91,2019-11-30,8:49 AM,Golf R,40555,Full,$2.899,9.959,$28.87,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,25.49,2019-12-03,8:49 AM,Golf R,40804,Full,$3.279,9.768,$32.03,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,19.73,2019-12-13,8:49 AM,Golf R,41014,Full,$3.179,10.642,$33.83,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,18.62,2019-12-21,8:49 AM,Golf R,41194,Full,$3.179,9.667,$30.73,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,22.03,2020-01-13,8:49 AM,Golf R,41436,Full,$3.219,10.985,$35.36,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,20.65,2020-01-28,8:49 AM,Golf R,41644,Full,$3.059,10.072,$30.81,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,18.33,2020-02-11,8:49 AM,Golf R,41844,Full,$2.959,10.909,$32.28,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,18.55,2020-02-25,8:49 AM,Golf R,42061,Full,$3.039,11.698,$35.55,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,21.05,2020-03-10,8:49 AM,Golf R,42295,Full,$2.879,11.115,$32.0,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,17.29,2020-05-14,8:49 AM,Golf R,42482,Full,$2.539,10.818,$27.47,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,19.51,2020-07-01,8:49 AM,Golf R,42696,Full,$2.839,10.969,$31.14,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,26.13,2020-07-12,8:49 AM,Golf R,42908,Full,$2.699,8.114,$21.9,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.35,2020-08-09,8:49 AM,Golf R,43133,Full,$2.739,9.241,$25.31,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.26,2020-08-16,8:49 AM,Golf R,43350,Full,$3.159,8.946,$28.26,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,21.08,2020-09-20,8:49 AM,Golf R,43569,Full,$2.839,10.387,$29.49,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,16.74,2020-10-30,8:49 AM,Golf R,43667,Full,$2.739,5.853,$16.03,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,22.68,2020-11-07,8:49 AM,Golf R,43955,Full,$2.839,12.698,$36.05,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,17.6,2020-12-22,8:49 AM,Golf R,44125,Full,$2.393,9.659,$23.11,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.36,2020-12-29,8:49 AM,Golf R,44425,Full,$2.989,12.315,$36.81,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,16.45,2021-03-15,8:49 AM,Golf R,44586,Full,$3.299,9.785,$32.28,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,,2021-03-20,8:49 AM,Golf R,44800,Full,$3.249,9.304,$30.23,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,,2021-04-12,8:49 AM,Golf R,45026,Full,$3.199,9.118,$29.17,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,15.02,2021-05-31,8:49 AM,Golf R,45132,Full,$3.519,7.059,$24.84,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,26.65,2021-06-13,8:49 AM,Golf R,45323,Full,$3.499,7.168,$25.08,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,21.65,2021-06-19,8:49 AM,Golf R,45513,Full,$3.519,8.778,$30.89,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,18.88,2021-08-21,8:49 AM,Golf R,45745,Full,$3.659,12.288,$44.96,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,19.89,2021-10-08,8:49 AM,Golf R,45918,Full,$3.699,8.697,$32.17,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,27.61,2021-10-11,8:49 AM,Golf R,46258,Full,$3.939,12.315,$48.51,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,22.24,2021-11-05,8:49 AM,Golf R,46415,Full,$3.899,7.061,$27.53,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,16.03,2021-12-20,8:49 AM,Golf R,46514,Full,$4.019,6.178,$24.83,Premium [Octane: 91],Citgo,,,American Express,0,,
